Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%],,,problem_flag
30:31.1,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:31.2,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:31.3,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:31.4,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:31.5,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:31.6,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:31.7,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:31.8,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:31.9,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:32.0,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:32.0,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:32.1,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:32.2,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:32.3,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:32.4,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:32.5,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:32.6,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:32.6,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:32.7,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:32.8,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:32.9,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:33.0,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:33.1,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:33.2,11,98,0,0,99,0,88.6,-1,14.5,14.5,,,0
30:33.3,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:33.4,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:33.5,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:33.5,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:33.6,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:33.7,11,98,0,0,99,0,88.6,-1,14.1,14.5,,,0
30:33.8,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:33.9,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.0,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.1,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.2,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.3,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.4,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.4,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.5,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.6,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.7,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.8,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:34.9,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:35.0,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:35.0,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.1,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.2,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.3,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.4,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.5,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.6,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.7,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.8,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.9,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:35.9,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.0,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.1,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.2,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.3,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.4,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.5,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.6,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.7,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.8,11,98,0,0,98,0,88.6,-1,14.1,14.5,,,0
30:36.8,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:36.9,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:37.0,11,98,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:37.1,11,95,0,0,98,0,88.6,-1,14.5,14.5,,,0
30:37.2,11,95,1084,0,98,0,88.6,-1,14.5,14.5,,,0
30:37.3,11,95,1084,0,98,0,88.6,-1,14.5,14.5,,,0
30:37.4,11,95,1084,0,95,0,88.6,-1,14.5,14.5,,,0
30:37.4,11,95,1084,0,95,17.41,88.6,-1,14.5,14.5,,,0
30:37.5,11,95,1084,0,95,17.41,83.1,-1,14.5,14.5,,,0
30:37.6,11,95,1084,0,95,17.41,83.1,-1,14.5,14.5,,,0
30:37.7,11,95,1084,0,95,17.41,83.1,-1,14.1,14.5,,,0
30:37.8,11,95,1084,0,95,17.41,83.1,-1,14.1,14.5,,,0
30:37.9,11,95,1084,0,95,17.41,83.1,-1,14.1,14.5,,,0
30:38.0,11,96,1084,0,95,17.41,83.1,-1,14.1,14.5,,,0
30:38.1,11,96,1021,0,95,17.41,83.1,-1,14.1,14.5,,,0
30:38.2,11,96,1021,0,95,17.41,83.1,-1,14.1,14.5,,,0
30:38.3,11,96,1021,0,55,17.41,83.1,-1,14.1,14.5,,,0
30:38.3,11,96,1021,0,55,16.3,83.1,-1,14.1,14.5,,,0
30:38.4,11,96,1021,0,55,16.3,83.1,-1,14.1,14.5,,,0
30:38.5,11,96,1021,0,55,16.3,83.1,-1,14.1,14.5,,,0
30:38.6,11,96,1021,0,55,16.3,83.1,-1,14.1,14.5,,,0
30:38.7,11,96,1021,0,55,16.3,83.1,-1,14.1,14.5,,,0
30:38.8,11,96,1021,0,55,16.3,83.1,-1,14.1,14.5,,,0
30:38.9,11,96,1021,0,55,16.3,83.1,-1,14.1,14.5,,,0
30:38.9,11,96,984,0,55,16.3,83.1,-1,14.1,14.5,,,0
30:39.0,11,96,984,0,55,16.3,83.1,-1,14.1,14.5,,,0
30:39.1,11,96,984,0,25,16.3,83.1,-1,14.1,14.5,,,0
30:39.2,11,96,984,0,25,16.13,83.1,-1,14.1,14.5,,,0
30:39.3,11,96,984,0,25,16.13,83.1,-1,14.1,14.5,,,0
30:39.4,11,96,984,0,25,16.13,83.1,-1,14.1,14.5,,,0
30:39.5,11,96,984,0,25,16.13,83.1,-1,14.5,14.5,,,0
30:39.5,11,96,984,0,25,16.13,83.1,-1,14.5,14.5,,,0
30:39.6,11,96,984,0,25,16.13,83.1,-1,14.5,14.5,,,0
30:39.7,11,97,984,0,25,16.13,83.1,-1,14.5,14.5,,,0
30:39.8,11,97,968,0,25,16.13,83.1,-1,14.5,14.5,,,0
30:39.9,11,97,968,0,25,16.13,83.1,-1,14.5,14.5,,,0
30:40.0,11,97,968,0,-9,16.13,83.1,-1,14.5,14.5,,,0
30:40.1,11,97,968,0,-9,15.58,83.1,-1,14.5,14.5,,,0
30:40.1,11,97,968,0,-9,15.58,83.1,-1,14.5,14.5,,,0
30:40.2,11,97,968,0,-9,15.58,83.1,-1,14.5,14.5,,,0
30:40.3,11,97,968,0,-9,15.58,83.1,-1,14.5,14.5,,,0
30:40.4,11,97,968,0,-9,15.58,83.1,-1,14.5,14.5,,,0
30:40.5,11,97,968,0,-9,15.58,83.1,-1,14.5,14.5,,,0
30:40.6,11,97,968,0,-9,15.58,83.1,-1,14.5,14.5,,,0
30:40.7,11,97,922,0,-9,15.58,83.1,-1,14.5,14.5,,,0
30:40.7,11,97,922,0,-9,15.58,83.1,-1,14.5,14.5,,,0
30:40.9,11,97,922,0,-19,15.58,83.1,-1,14.5,14.5,,,0
30:41.0,11,97,922,0,-19,15.08,83.1,-1,14.5,14.5,,,0
30:41.0,11,97,922,0,-19,15.08,83.1,-1,14.5,14.5,,,0
30:41.1,11,97,922,0,-19,15.08,83.1,-1,14.5,14.5,,,0
30:41.2,11,97,922,0,-19,15.08,83.1,-1,14.5,14.5,,,0
30:41.3,11,97,922,0,-19,15.08,83.1,-1,14.5,14.5,,,0
30:41.4,11,97,922,0,-19,15.08,83.1,-1,14.5,14.5,,,0
30:41.5,11,97,922,0,-19,15.08,83.1,-1,14.5,14.5,,,0
30:41.6,11,97,925,0,-19,15.08,83.1,-1,14.5,14.5,,,0
30:41.7,11,97,925,0,-19,15.08,83.1,-1,14.5,14.5,,,0
30:41.8,11,97,925,0,-27,15.08,83.1,-1,14.5,14.5,,,0
30:41.9,11,97,925,0,-27,15.63,83.1,-1,14.5,14.5,,,0
30:41.9,11,97,925,0,-27,15.63,83.1,-1,14.5,14.5,,,0
30:42.0,11,97,925,0,-27,15.63,83.1,-1,14.5,14.5,,,0
30:42.1,11,97,925,0,-27,15.63,83.1,-1,14.5,14.5,,,0
30:42.2,11,97,925,0,-27,15.63,83.1,-1,14.5,14.5,,,0
30:42.3,10,97,925,0,-27,15.63,83.1,-1,14.5,14.5,,,0
30:42.4,10,97,925,0,-27,15.63,83.1,-1,14.5,14.5,,,0
30:42.5,10,97,957,0,-27,15.63,83.1,-1,14.5,14.5,,,0
30:42.5,10,97,957,3,-27,15.63,83.1,-1,14.5,14.5,,,0
30:42.6,10,97,957,3,-31,15.63,83.1,-1,14.5,14.5,,,0
30:42.7,10,97,957,3,-31,16.16,83.1,-1,14.5,14.5,,,0
30:42.8,10,97,957,3,-31,16.16,83.1,-1,14.5,14.5,,,0
30:42.9,10,97,957,3,-31,16.16,83.1,-1,14.5,14.5,,,0
30:43.0,10,97,957,3,-31,16.16,83.1,-1,14.1,14.5,,,0
30:43.1,10,97,957,3,-31,16.16,83.1,-1,14.1,14.5,,,0
30:43.2,10,97,957,3,-31,16.16,83.1,-1,14.1,14.5,,,0
30:43.3,10,98,957,3,-31,16.16,83.1,-1,14.1,14.5,,,0
30:43.4,10,98,1003,3,-31,16.16,83.1,-1,14.1,14.5,,,0
30:43.4,10,98,1003,2,-31,16.16,83.1,-1,14.1,14.5,,,0
30:43.6,10,98,1003,2,-35,16.16,83.1,-1,14.1,14.5,,,0
30:43.7,10,98,1003,2,-35,17.05,83.1,-1,14.1,14.5,,,0
30:43.7,10,98,1003,2,-35,17.05,83.1,-1,14.1,14.5,,,0
30:43.8,10,98,1003,2,-35,17.05,83.1,-1,14.1,14.5,,,0
30:43.9,10,98,1003,2,-35,17.05,83.1,-1,14.9,14.5,,,0
30:44.0,10,98,1003,2,-35,17.05,83.1,-1,14.9,14.9,,,0
30:44.1,10,98,1003,2,-35,17.05,83.1,-1,14.9,14.9,,,0
30:44.2,10,99,1003,2,-35,17.05,83.1,-1,14.9,14.9,,,0
30:44.3,10,99,954,2,-35,17.05,83.1,-1,14.9,14.9,,,0
30:44.4,10,99,954,1,-35,17.05,83.1,-1,14.9,14.9,,,0
30:44.5,10,99,954,1,-37,17.05,83.1,-1,14.9,14.9,,,0
30:44.6,10,99,954,1,-37,15.38,83.1,-1,14.9,14.9,,,0
30:44.6,10,99,954,1,-37,15.38,83.1,-1,14.9,14.9,,,0
30:44.7,10,99,954,1,-37,15.38,83.1,-1,14.9,14.9,,,0
30:44.8,10,99,954,1,-37,15.38,83.1,-1,15.7,14.9,,,0
30:44.9,10,99,954,1,-37,15.38,83.1,-1,15.7,15.3,,,0
30:45.0,10,99,954,1,-37,15.38,83.1,-1,15.7,15.3,,,0
30:45.1,10,99,954,1,-37,15.38,83.1,-1,15.7,15.3,,,0
30:45.2,10,99,942,1,-37,15.38,83.1,-1,15.7,15.3,,,0
30:45.2,10,99,942,2,-37,15.38,83.1,-1,15.7,15.3,,,0
30:45.3,10,99,942,2,-40,15.38,83.1,-1,15.7,15.3,,,0
30:45.4,10,99,942,2,-40,17.02,83.1,-1,15.7,15.3,,,0
30:45.5,10,99,942,2,-40,17.02,83.1,-1,15.7,15.3,,,0
30:45.6,10,99,942,2,-40,17.02,83.1,-1,15.7,15.3,,,0
30:45.7,10,99,942,2,-40,17.02,83.1,-1,14.1,15.3,,,0
30:45.8,10,99,942,2,-40,17.02,83.1,-1,14.1,14.5,,,0
30:45.9,10,99,942,2,-40,17.02,83.1,-1,14.1,14.5,,,0
30:46.0,10,100,942,2,-40,17.02,83.1,-1,14.1,14.5,,,0
30:46.1,10,100,983,2,-40,17.02,83.1,-1,14.1,14.5,,,0
30:46.1,10,100,983,1,-40,17.02,83.1,-1,14.1,14.5,,,0
30:46.2,10,100,983,1,-40,17.02,83.1,-1,14.1,14.5,,,0
30:46.3,10,100,983,1,-40,17.24,83.1,-1,14.1,14.5,,,0
30:46.4,10,100,983,1,-40,17.24,83.1,-1,14.1,14.5,,,0
30:46.4,10,100,983,1,-40,17.24,83.1,-1,14.1,14.5,,,0
30:46.5,10,100,983,1,-40,17.24,83.1,-1,14.5,14.5,,,0
30:46.6,10,100,983,1,-40,17.24,83.1,-1,14.5,14.1,,,0
30:46.7,10,100,983,1,-40,17.24,83.1,-1,14.5,14.1,,,0
30:46.8,10,101,983,1,-40,17.24,83.1,-1,14.5,14.1,,,0
30:46.9,10,101,958,1,-40,17.24,83.1,-1,14.5,14.1,,,0
30:47.0,10,101,958,1,-40,17.24,83.1,-1,14.5,14.1,,,0
30:47.0,10,101,958,1,-40,17.24,83.1,-1,14.5,14.1,,,0
30:47.1,10,101,958,1,-40,16.61,83.1,-1,14.5,14.1,,,0
30:47.2,10,101,958,1,-40,16.61,83.1,-1,14.5,14.1,,,0
30:47.3,10,101,958,1,-40,16.61,83.1,-1,14.5,14.1,,,0
30:47.3,10,101,958,1,-40,16.61,83.1,-1,14.5,14.1,,,0
30:47.4,10,101,958,1,-40,16.61,83.1,-1,14.5,14.5,,,0
30:47.5,10,101,958,1,-40,16.61,83.1,-1,14.5,14.5,,,0
30:47.6,10,101,958,1,-40,16.61,83.1,-1,14.5,14.5,,,0
30:47.6,10,101,984,1,-40,16.61,83.1,-1,14.5,14.5,,,0
30:47.7,10,101,984,1,-40,16.61,83.1,-1,14.5,14.5,,,0
30:47.8,10,101,984,1,-40,16.61,83.1,-1,14.5,14.5,,,0
30:47.9,10,101,984,1,-40,16.97,83.1,-1,14.5,14.5,,,0
30:47.9,10,101,984,1,-40,16.97,83.1,-1,14.5,14.5,,,0
30:48.0,10,101,984,1,-40,16.97,83.1,-1,14.5,14.5,,,0
30:48.1,10,101,984,1,-40,16.97,83.1,-1,17.3,14.5,,,0
30:48.2,10,101,984,1,-40,16.97,83.1,-1,17.3,16.9,,,0
30:48.3,10,101,984,1,-40,16.97,83.1,-1,17.3,16.9,,,0
30:48.4,10,101,984,1,-40,16.97,83.1,-1,17.3,16.9,,,0
30:48.5,10,101,935,1,-40,16.97,83.1,-1,17.3,16.9,,,0
30:48.6,10,101,935,1,-40,16.97,83.1,-1,17.3,16.9,,,0
30:48.7,10,101,935,1,-40,16.97,83.1,-1,17.3,16.9,,,0
30:48.8,10,101,935,1,-40,16.49,83.1,-1,17.3,16.9,,,0
30:48.9,10,101,935,1,-40,16.49,83.1,-1,17.3,16.9,,,0
30:49.0,10,101,935,1,-40,16.49,83.1,-1,17.3,16.9,,,0
30:49.1,10,101,935,1,-40,16.49,83.1,-1,15.7,16.9,,,0
30:49.1,10,101,935,1,-40,16.49,83.1,-1,15.7,15.7,,,0
30:49.2,10,101,935,1,-40,16.49,83.1,-1,15.7,15.7,,,0
30:49.3,10,102,935,1,-40,16.49,83.1,-1,15.7,15.7,,,0
30:49.4,10,102,938,1,-40,16.49,83.1,-1,15.7,15.7,,,0
30:49.4,10,102,938,1,-40,16.49,83.1,-1,15.7,15.7,,,0
30:49.5,10,102,938,1,-40,16.49,83.1,-1,15.7,15.7,,,0
30:49.6,10,102,938,1,-40,16.38,83.1,-1,15.7,15.7,,,0
30:49.7,10,102,938,1,-40,16.38,83.1,-1,15.7,15.7,,,0
30:49.7,10,102,938,1,-40,16.38,83.1,-1,15.7,15.7,,,0
30:49.8,10,102,938,1,-40,16.38,83.1,-1,17.3,15.7,,,0
30:49.9,10,102,938,1,-40,16.38,83.1,-1,17.3,17.3,,,0
30:50.0,10,102,938,1,-40,16.38,83.1,-1,17.3,17.3,,,0
30:50.1,10,102,938,1,-40,16.38,83.1,-1,17.3,17.3,,,0
30:50.2,10,102,921,1,-40,16.38,83.1,-1,17.3,17.3,,,0
30:50.3,10,102,921,2,-40,16.38,83.1,-1,17.3,17.3,,,0
30:50.3,10,102,921,2,-39,16.38,83.1,-1,17.3,17.3,,,0
30:50.4,10,102,921,2,-39,16.08,83.1,-1,17.3,17.3,,,0
30:50.5,10,102,921,2,-39,16.08,83.1,-1,17.3,17.3,,,0
30:50.6,10,102,921,2,-39,16.08,83.1,-1,17.3,17.3,,,0
30:50.6,10,102,921,2,-39,16.08,83.1,-1,17.3,17.3,,,0
30:50.7,10,102,921,2,-39,16.08,83.1,-1,17.3,17.3,,,0
30:50.8,10,102,921,2,-39,16.08,83.1,-1,17.3,17.3,,,0
30:50.9,10,102,921,2,-39,16.08,83.1,-1,17.3,17.3,,,0
30:51.0,10,102,924,2,-39,16.08,83.1,-1,17.3,17.3,,,0
30:51.1,10,102,924,3,-39,16.08,83.1,-1,17.3,17.3,,,0
30:51.2,10,102,924,3,-38,16.08,83.1,-1,17.3,17.3,,,0
30:51.2,10,102,924,3,-38,16.33,83.1,-1,17.3,17.3,,,0
30:51.3,10,102,924,3,-38,16.33,83.1,-1,17.3,17.3,,,0
30:51.4,10,102,924,3,-38,16.33,83.1,-1,17.3,17.3,,,0
30:51.5,10,102,924,3,-38,16.33,83.1,-1,17.3,17.3,,,0
30:51.6,10,102,924,3,-38,16.33,83.1,-1,17.3,17.3,,,0
30:51.7,10,102,924,3,-38,16.33,83.1,-1,17.3,17.3,,,0
30:51.8,10,103,924,3,-38,16.33,83.1,-1,17.3,17.3,,,0
30:51.9,10,103,945,3,-38,16.33,83.1,-1,17.3,17.3,,,0
30:52.0,10,103,945,4,-38,16.33,83.1,-1,17.3,17.3,,,0
30:52.1,10,103,945,4,-37,16.33,83.1,-1,17.3,17.3,,,0
30:52.1,10,103,945,4,-37,16.86,83.1,-1,17.3,17.3,,,0
30:52.2,10,103,945,4,-37,16.86,83.1,-1,17.3,17.3,,,0
30:52.3,10,103,945,4,-37,16.86,83.1,-1,17.3,17.3,,,0
30:52.4,10,103,945,4,-37,16.86,83.1,-1,17.3,17.3,,,0
30:52.5,10,103,945,4,-37,16.86,83.1,-1,17.3,17.3,,,0
30:52.6,10,103,945,4,-37,16.86,83.1,-1,17.3,17.3,,,0
30:52.7,10,104,945,4,-37,16.86,83.1,-1,17.3,17.3,,,0
30:52.7,10,104,944,4,-37,16.86,83.1,-1,17.3,17.3,,,0
30:52.8,10,104,944,5,-37,16.86,83.1,-1,17.3,17.3,,,0
30:52.9,10,104,944,5,-36,16.86,83.1,-1,17.3,17.3,,,0
30:53.0,10,104,944,5,-36,17.08,83.1,-1,17.3,17.3,,,0
30:53.0,10,104,944,5,-36,17.08,83.1,-1,17.3,17.3,,,0
30:53.1,10,104,944,5,-36,17.08,83.1,-1,17.3,17.3,,,0
30:53.2,10,104,944,5,-36,17.08,83.1,-1,17.3,17.3,,,0
30:53.3,10,104,944,5,-36,17.08,83.1,-1,17.3,17.3,,,0
30:53.4,10,104,944,5,-36,17.08,83.1,-1,17.3,17.3,,,0
30:53.5,10,104,944,5,-36,17.08,83.1,-1,17.3,17.3,,,0
30:53.6,10,104,939,5,-36,17.08,83.1,-1,17.3,17.3,,,0
30:53.6,10,104,939,6,-36,17.08,83.1,-1,17.3,17.3,,,0
30:53.7,10,104,939,6,-34,17.08,83.1,-1,17.3,17.3,,,0
30:53.8,10,104,939,6,-34,16.88,83.1,-1,17.3,17.3,,,0
30:53.9,10,104,939,6,-34,16.88,83.1,-1,17.3,17.3,,,0
30:54.0,10,104,939,6,-34,16.88,83.1,-1,17.3,17.3,,,0
30:54.1,10,104,939,6,-34,16.88,83.1,-1,17.6,17.3,,,0
30:54.2,10,104,939,6,-34,16.88,83.1,-1,17.6,18,,,0
30:54.3,10,104,939,6,-34,16.88,83.1,-1,17.6,18,,,0
30:54.3,10,105,939,6,-34,16.88,83.1,-1,17.6,18,,,0
30:54.4,10,105,1069,6,-34,16.88,83.1,-1,17.6,18,,,0
30:54.5,10,105,1069,9,-34,16.88,83.1,-1,17.6,18,,,0
30:54.5,10,105,1069,9,-33,16.88,83.1,-1,17.6,18,,,0
30:54.6,10,105,1069,9,-33,22.02,83.1,-1,17.6,18,,,0
30:54.7,10,105,1069,9,-33,22.02,83.1,-1,17.6,18,,,0
30:54.8,10,105,1069,9,-33,22.02,83.1,-1,17.6,18,,,0
30:54.8,10,105,1069,9,-33,22.02,83.1,-1,32.9,18,,,0
30:54.9,10,105,1069,9,-33,22.02,83.1,-1,32.9,34.5,,,0
30:55.0,10,105,1069,9,-33,22.02,83.1,-1,32.9,34.5,,,0
30:55.1,10,114,1069,9,-33,22.02,83.1,-1,32.9,34.5,,,0
30:55.1,10,114,1527,9,-33,22.02,83.1,-1,32.9,34.5,,,0
30:55.2,10,114,1527,13,-33,22.02,83.1,-1,32.9,34.5,,,0
30:55.3,10,114,1527,13,-30,22.02,83.1,-1,32.9,34.5,,,0
30:55.4,10,114,1527,13,-30,35.97,83.1,-1,32.9,34.5,,,0
30:55.4,10,114,1527,13,-30,35.97,83.1,-1,32.9,34.5,,,0
30:55.5,10,114,1527,13,-30,35.97,83.1,-1,32.9,34.5,,,0
30:55.6,10,114,1527,13,-30,35.97,83.1,-1,41.6,34.5,,,0
30:55.7,10,114,1527,13,-30,35.97,83.1,-1,41.6,42,,,0
30:55.7,10,114,1527,13,-30,35.97,83.1,-1,41.6,42,,,0
30:55.8,10,142,1527,13,-30,35.97,83.1,-1,41.6,42,,,0
30:55.9,10,142,1915,13,-30,35.97,83.1,-1,41.6,42,,,0
30:56.0,10,142,1915,17,-30,35.97,83.1,-1,41.6,42,,,0
30:56.1,10,142,1915,17,-26,35.97,83.1,-1,41.6,42,,,0
30:56.2,10,142,1915,17,-26,48.83,83.1,-1,41.6,42,,,0
30:56.3,10,142,1915,17,-26,48.83,83.1,-1,41.6,42,,,0
30:56.3,20,142,1915,17,-26,48.83,83.1,-1,41.6,42,,,1
30:56.4,20,142,1915,17,-26,48.83,83.1,-1,31,42,,,1
30:56.5,20,142,1915,17,-26,48.83,83.1,-1,31,16.1,,,1
30:56.6,20,142,1915,17,-26,48.83,83.1,-1,31,16.1,,,1
30:56.6,20,124,1915,17,-26,48.83,83.1,-1,31,16.1,,,1
30:56.7,20,124,1586,17,-26,48.83,83.1,-1,31,16.1,,,1
30:56.8,20,124,1586,17,-26,48.83,83.1,-1,31,16.1,,,1
30:56.9,20,124,1586,17,-25,48.83,83.1,-1,31,16.1,,,1
30:56.9,20,124,1586,17,-25,24.33,83.1,-1,31,16.1,,,1
30:57.0,20,124,1586,17,-25,24.33,31,-1,31,16.1,,,1
30:57.1,20,124,1586,17,-25,24.33,31,-1,31,16.1,,,1
30:57.2,20,124,1586,17,-25,24.33,31,-1,28.6,16.1,,,1
30:57.3,20,124,1586,17,-25,24.33,31,-1,28.6,31,,,1
30:57.4,20,124,1586,17,-25,24.33,31,-1,28.6,31,,,1
30:57.5,20,100,1586,17,-25,24.33,31,-1,28.6,31,,,1
30:57.5,20,100,1040,17,-25,24.33,31,-1,28.6,31,,,1
30:57.6,20,100,1040,17,-25,24.33,31,-1,28.6,31,,,1
30:57.7,20,100,1040,17,-28,24.33,31,-1,28.6,31,,,1
30:57.8,20,100,1040,17,-28,19.11,31,-1,28.6,31,,,1
30:57.8,20,100,1040,17,-28,19.11,83.1,-1,28.6,31,,,1
30:57.9,20,100,1040,17,-28,19.11,83.1,-1,28.6,31,,,1
30:58.0,20,100,1040,17,-28,19.11,83.1,-1,31,31,,,1
30:58.1,20,100,1040,17,-28,19.11,83.1,-1,31,31,,,1
30:58.1,20,100,1040,17,-28,19.11,83.1,-1,31,31,,,1
30:58.2,20,111,1040,17,-28,19.11,83.1,-1,31,31,,,1
30:58.3,20,111,1115,17,-28,19.11,83.1,-1,31,31,,,1
